# РАЗБОР ПРОВЕРОК, УМИРАЮЩИХ ВМЕСТЕ С JavaScript — по утверждениям, а не по файлам.
# Дерево: коммит 4780c595, ветка vypusk/zamestit-proverki. 886 блоков test(...) в 37 файлах.
# Категории: A1 — держит пример внутри .flang (переживёт выброс); A2 — держит только сверка
# self-*.test.mjs (умрёт вместе с JavaScript, но предмет — эталон на flang, перенос дешёвый);
# B — переносимо на flang test примером; C — выразимо только снаружи языка (прогонщик, C, фаззинг);
# D — не замещается ничем.
файл	название теста	категория	улика или довод
flang/test/nat.test.mjs:274	структурное убывание сильнее и побеждает: натуральное его не перебивает	B	B: счёт сторожей и точных мер — значение (flang/self/totality.flang:364-370, «Итог тотальности»: «тотальные», «меры», «точные»); образец — flang/self/otkazy-totalnosti.flang:42-64
flang/test/nat.test.mjs:289	списки имён натурального в типизаторе и в анализе завершаемости совпадают	B	B: оба перечня есть на flang и так же разведены по двум слоям — flang/self/types.flang:2158 и flang/self/totality.flang:1903-1905 («Точные имена типа»); примера на их согласие нет
flang/test/nat.test.mjs:305	границы точной сетки — те самые, что мерены на double	A1	A1: flang/self/types.flang:173-181 («Потолок точных», пример «последнее точное целое» → 9007199254740991, плюс обеспечивает «до потолка сложение точно» и «за потолком единица теряется») и :199-205 («Дно точных», пример «оно же со знаком минус» → -9007199254740991)
flang/test/nat.test.mjs:315	имена целого не пусты и не пересекаются с именами натурального	B	B: оба перечня есть на flang и так же разведены по двум слоям — flang/self/types.flang:2158 и flang/self/totality.flang:1903-1905 («Точные имена типа»); примера на их согласие нет
flang/test/nat.test.mjs:320	оба уточнения печатаются теми же словами, какими пишутся в объявлении	A1	A1: flang/self/types.flang:1083-1095 («Числовое имя», примеры «Отрезок от нуля — натуральное» → "нат" и «Отрезок с минусом — целое» → "целое"); два утверждения из четырёх — «число» и «список нат» примером не закреплены
flang/test/index-base-word.test.mjs:90	две базы — ДВА разных ответа, и обе программы валидны	B	B: программа с `элемент начиная с 0` и примером — прямая запись; но flang/self/interpret.flang базы не читает вовсе (жёстко `индекс не меньше 1`, :3074-3080), так что примера сегодня не хватит
flang/test/index-base-word.test.mjs:103	объявление доезжает до ДОКАЗАТЕЛЬСТВА, и в обе стороны	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-base-word.test.mjs:119	молчание значит единицу — и в вычислении, и в доказательстве	B	B: программа с `элемент начиная с 0` и примером — прямая запись; но flang/self/interpret.flang базы не читает вовсе (жёстко `индекс не меньше 1`, :3074-3080), так что примера сегодня не хватит
flang/test/index-base-word.test.mjs:125	у программы без объявления ключа `базаНомера` в AST НЕТ вовсе	A2	A2: flang/test/self-parser.test.mjs:874-875 + прогон :886 (побайтовая сверка AST обеих объявивших программ, порядок ключей = байты) и :223 (весь корпус — ни один файл базы не объявляет, ключа в AST нет)
flang/test/index-base-word.test.mjs:142	ПОБАЙТОВО: объявленная единица печатается как молчание — во все восемь целей	C	C: цели печати берутся РЕЕСТРОМ каталога flang/src/emit/*.mjs (`emitTargets`), а восемь эталонов flang/self/emit-*.flang базу ПРОГРАММЫ не читают вовсе — они читают ключ («настройки».«база», flang/self/emit-js.flang:2100)
flang/test/index-base-word.test.mjs:166	одно объявление на всех четырёх поверхностях — и число одно	A2	A2: flang/test/self-parser.test.mjs:881-883 + прогон :886 (те же три нерусские программы, побайтово)
flang/test/index-base-word.test.mjs:186	ПОДДЕЛКА ТРЕТЬЕЙ БАЗОЙ: `элемент начиная с 2` отвергнуто названным кодом	A2	A2: flang/test/self-parser.test.mjs:876 + прогон :886 (сверяются код, сообщение и место); текст отказа — flang/self/parser.flang:4142
flang/test/index-base-word.test.mjs:195	ПОДДЕЛКА НЕ ЧИСЛОМ: `элемент начиная с "ноль"` отвергнуто там же	A2	A2: flang/test/self-parser.test.mjs:877 + прогон :886; текст отказа — flang/self/parser.flang:4142
flang/test/index-base-word.test.mjs:201	ПОДДЕЛКА ДВУМЯ ОБЪЯВЛЕНИЯМИ: порядок строк не вправе решать	A2	A2: flang/test/self-parser.test.mjs:879 + прогон :886; текст отказа — flang/self/parser.flang:4143. Вторая половина («дважды одним числом») в краевых не стоит
flang/test/index-base-word.test.mjs:212	ПОДДЕЛКА ПОЛОВИНОЙ ФРАЗЫ: `элемент 0` у левого края отвергнуто	A2	A2: flang/test/self-parser.test.mjs:878 + прогон :886; текст отказа — flang/self/parser.flang:4139
flang/test/index-base-word.test.mjs:218	ИЗЪЯТИЕ: `элемент` внутри тела остался выражением, а не объявлением	B	B: программа с `элемент начиная с 0` и примером — прямая запись; но flang/self/interpret.flang базы не читает вовсе (жёстко `индекс не меньше 1`, :3074-3080), так что примера сегодня не хватит
flang/test/index-base-word.test.mjs:230	объявление ПОБЕЖДАЕТ ключ `--index-base`, а не уступает ему молча	C	C: `--index-base` — ключ запуска, поверхности внутри языка у него нет; «объявление побеждает ключ» примером не выразить
interpret.test.mjs	узел literal даёт значение как есть	A1	flang/core/evaluate.flang:83-90 функция «Скаляр в текст», пример «…» на литералах; прогон примеров без Node — flang/проверки/обход-примеров.sh (4382 примера, 343 файла)
interpret.test.mjs	узел var читает связанное имя, несвязанное — FLANG_UNKNOWN_NAME	A2	flang/test/self-interpret.test.mjs:604 сломанная «имя не связано» (код, текст и витки сверены); положительная половина — flang/core/evaluate.flang:211-220
interpret.test.mjs	узел field читает поле записи	A1	flang/core/evaluate.flang:187-195 «Число скаляра», пример на строке 190 (чтение поля записи); отказы — self-interpret.test.mjs:726 «поле у не-записи», :840 «записи нет такого поля»
interpret.test.mjs	узел let связывает имя и допускает затенение	A1	flang/core/evaluate.flang:234-240 «Значение операнда», пример на строке 237 (тело на «пусть»)
interpret.test.mjs	узел if вычисляет только выбранную ветвь	A1	flang/stdlib/logic.flang:84-100 «Оба верны» + всякая рекурсивная функция с базой (flang/core/evaluate.flang:211): вычисляй «если» обе ветви — примеры не завершились бы
interpret.test.mjs	узел call применяет функцию, неизвестное имя — FLANG_UNKNOWN_NAME	A2	flang/test/self-interpret.test.mjs:1106 сломанные, «функция объявлена дважды» :639, «не задан аргумент» :629
interpret.test.mjs	аргументы вычисляются до вызова (строгая семантика)	A2	flang/test/self-interpret.test.mjs:13-18 (витки в витки: переставленный порядок вычисления аргументов даёт то же значение и другое число витков) + :508 корпус
interpret.test.mjs	узел binary: арифметика на double	A2	flang/test/self-interpret.test.mjs:508 корпус 127 программ, значение сверяется печатью в JSON и valuesEqual; отдельного примера на 0.1+0.2 и 1/0=+∞ в .flang нет
interpret.test.mjs	узел binary: сравнения повторяют compare() ядра	A2	flang/test/self-builtins.test.mjs:460-466 (17×17 пар + 14 особых) и :736 «порядок по строкам» в сломанных self-interpret
interpret.test.mjs	узел construct создаёт вариант суммы типов	A1	flang/core/evaluate.flang:83-107 «Скаляр в текст» (вариант «…» в теле), пример на строке 86; flang/stdlib/optional.flang:54-64
interpret.test.mjs	узел record создаёт запись	A1	flang/core/evaluate.flang:211-232 «Найти привязку» (запись «…» в теле), пример на строке 214
interpret.test.mjs	узел list вычисляет элементы слева направо	A1	flang/stdlib/lists.flang:93-100 «…» примеры «Пустой список»/«Три элемента»
interpret.test.mjs	узел builtin вызывает встроенную форму	A1	flang/проверки/встроенные-формы.flang:96-174 ведомость из 59 утверждений о формах, прогоняется двоичным без Node
interpret.test.mjs	узел fold сворачивает список	A1	flang/core/evaluate.flang:211-232 «Найти привязку» (свёртка), пример на строке 214; flang/core/evaluate.flang:526-534
interpret.test.mjs	узел map отображает список	A1	flang/core/lexer.flang:681-690 «Коды диагностик» (отобразить), пример на строке 684
interpret.test.mjs	узел filter отбирает элементы, и отброшенные дальше не вычисляются	A1	flang/core/lexer.flang:480-490 «Куски по пробелам» (отфильтровать), пример на строке 483; flang/core/json.flang:332-340
interpret.test.mjs	образец: вариант с привязкой полей	A1	flang/core/evaluate.flang:83-107 «Скаляр в текст» (разбор с привязкой полей варианта), пример на строке 86
interpret.test.mjs	образец: пусто и голова с хвостом	A1	flang/stdlib/lists.flang:93-100; flang/self/lexer.flang:1519-1530 «Длина до закрытия» (разбор пусто/голова и хвост) с двумя примерами
interpret.test.mjs	образец: литерал и любое	A1	flang/core/evaluate.flang:109-120 «Скаляры равны», пример на строке 112
interpret.test.mjs	образец: вложенные варианты разбираются вложенным разбором	A1	flang/core/evaluate.flang:166-186 «Скаляр это число», пример на строке 169; flang/stdlib/result.flang примеры
interpret.test.mjs	непокрытое значение — FLANG_MATCH_NOT_EXHAUSTIVE, а не undefined	A2	flang/test/self-interpret.test.mjs:746 сломанная «разбор не покрывает»; код в списке :1152
interpret.test.mjs	привязка к отсутствующему полю варианта — ошибка имени	A2	flang/test/self-interpret.test.mjs:647 сломанная «вариант не содержит поля образца» (FLANG_UNKNOWN_NAME)
interpret.test.mjs	рекурсия: длина списка	A1	flang/stdlib/lists.flang:93-100 «Длина»/«…» примеры; flang/core/evaluate.flang:211
interpret.test.mjs	рекурсия: обход дерева (сумма типов с рекурсивным полем)	A1	flang/stdlib/tree.flang (41 пример на рекурсивной сумме типов)
interpret.test.mjs	рекурсия: факториал	A1	examples/rosetta/factorial.flang:69-90 примеры «Пять факториал», «Десять факториал», «Ноль факториал»; examples/measure/natural.flang:65
interpret.test.mjs	рекурсия: взаимная	A2	flang/test/self-interpret.test.mjs:1198 «глубина вызовов возвращается на место: сто вызовов подряд при пределе 5» + сверка витков :508
interpret.test.mjs	хвостовая рекурсия идёт в постоянной глубине	A2	flang/test/self-interpret.test.mjs:1198 (та же проба); flang/self/interpret.flang:915-918 — тот же довод записан в эталоне
interpret.test.mjs	глубокая нехвостовая рекурсия не съедает стек JS	B	утверждение — равенство значений («Счёт» от 9000 = 9000, «Длина» от 1500 элементов = 1500): выражается функцией с примером; предмет «стек движка» исчезает, охрана явного стека остаётся нужной
interpret.test.mjs	зациклившаяся функция даёт FLANG_RECURSION_LIMIT, а не висит	A2	flang/test/self-interpret.test.mjs:1088 сломанная «зацикливание упирается в предел витков» (код, текст и витки); flang/self/interpret.flang:944-947 «Предел витков»
interpret.test.mjs	бесконечная нехвостовая рекурсия упирается в предел глубины	A2	flang/test/self-interpret.test.mjs:1093 сломанная «глубина вызовов кончается»; flang/self/interpret.flang:904-905
interpret.test.mjs	лимиты настраиваются и на рантайме, и на отдельном вызове	D	предмет — ключи maxSteps/maxDepth у createRuntime и у отдельного call и отказ на maxSteps:0; у эталона пределы приезжают доводами «Подготовить программу» (flang/self/interpret.flang:2109), отдельного вызова со своими пределами и проверки нуля там нет
interpret.test.mjs	createRuntime перечисляет функции и переиспользуется	D	предмет — runtime.listFunctions(): массив объектов JavaScript с полями name/total/params; такого вида у эталона нет
interpret.test.mjs	вычисление детерминировано и не портит входные данные	D	предмет — массив JavaScript, отданный хозяином внутрь вычислителя, не мутируется; без хозяина-JS проверять нечего
interpret.test.mjs	кривая программа отвергается с FLANG_PARSE	A2	flang/test/self-interpret.test.mjs:609 «неизвестный вид выражения», :634 «у функции нет тела», :668 «поле functions не список», :720 «неизвестная запись в конструкторе»
interpret.test.mjs	узлы со связыванием требуют имени	C	FLANG_PARSE: AST с let/map/filter/fold без имени связки. Парсер такого не породит, «пример» не выразит; в сломанных self-interpret этих четырёх нет (есть только «параметр без имени» :675)
interpret.test.mjs	ошибка несёт span узла, если он есть	C	FLANG_UNKNOWN_NAME: span доходит до диагностики (line/column, severity). Сломанные self-interpret сверяют код, текст и витки, но НЕ место
interpret.test.mjs	постусловие ловит нарушение и с кодом по умолчанию	A2	flang/test/self-interpret.test.mjs:900 «нарушенное постусловие: свой код и свой текст», :910 «нарушенное постусловие без кода и текста», :934 «постусловие без имени» (FLANG_PROPERTY)
interpret.test.mjs	накопление списка линейно, а витки при этом не двигаются ни на единицу	D	предмет — время на движке Node (пороги 30 000 мс и «удвоение не учетверяет») и счётчик витков рантайма на JavaScript; замер класса сложности
interpret.test.mjs	«добавить» за постоянное время не портит исходный список: ветвление и хвост	B	все утверждения — равенства списков ([[],[1],[2],[1,3],[1,4]] и т. д.); выражается функциями с примерами. Сегодня нигде больше не проверено: self-builtins.test.mjs:41-45 прямо отказывается («список с запасом — представление ВНУТРИ вычислителя на JavaScript, эталона на языке у него быть не может»)
interpret.test.mjs	приписывание в начало линейно, а витки при этом те же, что у дописывания	D	то же, что у «накопление списка линейно»: время на движке Node
interpret.test.mjs	«приписать» за постоянное время не портит исходный список: ветвление, хвост и оба конца	B	равенства списков, включая «Оба конца» одного буфера; выражается примерами. Тот же отказ self-builtins.test.mjs:41-45
interpret.test.mjs	если парсер уже есть — прогоняем его AST через вычислитель	D	предмет — динамический ввоз src/parser.mjs и src/types.mjs и их связка; две ветки t.skip и проглоченный catch (строки 1129, 1152, 1162)
interpret.test.mjs	исход прогона: четыре вида, и каждый достижим	A2	flang/self/interpret.flang:278-282 тип «Исход прогона» из четырёх вариантов; flang/test/self-interpret.test.mjs:1136 «сверка покрыла ВСЕ виды исхода»
interpret.test.mjs	бросающая граница — та же работа плюс бросок, а не второй счёт	D	предмет — тождество объекта-исключения JavaScript (тот же FlangError, тот же массив diagnostics); исключений в языке нет — self-builtins.test.mjs:45-47 говорит это прямо
interpret.test.mjs	разбор исхода без ветви на вид — ошибка сборки, а не тихое «ничего»	D	предмет — поИсходу() и код FLANG_UNCOVERED_OUTCOME (src/interpret.mjs:349-360): подпорка на JavaScript вместо разбора замкнутой суммы, который в языке делает сам «разбор»
interpret.test.mjs	предел прогона и предел процесса зовутся одним кодом — и это сверено	B	обе стороны уже на flang: flang/self/interpret.flang:2444-2448 «Код предела прогона» с примером и flang/self/failures.flang:169 «Вид предел»→FLANG_RECURSION_LIMIT; нужна третья функция со сравнением и примером
builtins.test.mjs	длина считает кодовые точки, а не единицы UTF-16	A1	flang/проверки/встроенные-формы.flang:99-102 (ведомость.txt строки 1-4)
builtins.test.mjs	длина работает и для списка	A1	flang/проверки/встроенные-формы.flang:103-104 (ведомость.txt строки 5-6)
builtins.test.mjs	длина отвергает не строку и не список	A2	FLANG_BUILTIN_ARGS; flang/test/self-builtins.test.mjs:307 ОСОБЫЕ «Отказ длины» на всех 17 значениях матрицы + арности :195
builtins.test.mjs	символ индексируется от единицы и знает кириллицу	A1	flang/проверки/встроенные-формы.flang:106-108 (ведомость.txt строки 7-9)
builtins.test.mjs	символ за границей строки — ошибка, а не undefined	A2	FLANG_BUILTIN_ARGS; flang/test/self-builtins.test.mjs:331 «Отказ номера символа» на 6 номерах × 2 основаниях, текст сверен побайтово
builtins.test.mjs	символ уважает нулевую базу индексов	A2	flang/test/self-builtins.test.mjs:452-459 «Основание индексации» при четырёх наборах ключей; в поверхности языка ключа indexBase нет (flang/проверки/встроенные-формы.flang:30-36 — шапка: 3 утверждения спрашивают с ключа indexBase, которого в поверхности языка нет)
builtins.test.mjs	код символа даёт кодовую точку, а не единицу UTF-16	A1	flang/проверки/встроенные-формы.flang:110-114 (ведомость.txt строки 10-14)
builtins.test.mjs	код символа и символ 1 в … согласованы на любом входе	A1	flang/проверки/встроенные-формы.flang:115 (ведомость.txt строка 15); шире — self-builtins.test.mjs:625-640 на девяти строках с суррогатами
builtins.test.mjs	код символа отвергает пустую строку и не строку	A2	FLANG_BUILTIN_ARGS; flang/test/self-builtins.test.mjs:323 «Отказ пустого кода символа» + матрица родов :278
builtins.test.mjs	подстрока берёт границы включительно	A1	flang/проверки/встроенные-формы.flang:117-120 (ведомость.txt строки 16-19)
builtins.test.mjs	подстрока за границами — ошибка	A2	FLANG_BUILTIN_ARGS; flang/test/self-builtins.test.mjs:333-337 «Отказ начала подстроки» и «Отказ конца подстроки» на 6 значениях × 2 основаниях
builtins.test.mjs	соединить склеивает строки и собирает список через разделитель	A1	flang/проверки/встроенные-формы.flang:122-125 (ведомость.txt строки 20-23); отказ на списке не строк — self-builtins.test.mjs:315 «Отказ элемента соединения»
builtins.test.mjs	разделить по отсутствующему разделителю даёт список из одной строки	A1	flang/проверки/встроенные-формы.flang:127-130 (ведомость.txt строки 24-27); отказ на пустом разделителе — self-builtins.test.mjs:324
builtins.test.mjs	содержит работает для строк и для списков	A1	flang/проверки/встроенные-формы.flang:132-135 и :166 (ведомость.txt строки 28-31, 54)
builtins.test.mjs	начинается с сравнивает префикс	A1	flang/проверки/встроенные-формы.flang:137-139 (ведомость.txt строки 32-34)
builtins.test.mjs	к числу разбирает строго	A2	положительная половина — flang/проверки/встроенные-формы.flang:141-143; отказы («», «сорок два», «0x10», «Infinity», «1e400») — self-builtins.test.mjs:328 «Отказ не конечное число» и :320, плюс self-interpret.test.mjs:1235 «к числу разбирает те же строки в те же биты»
builtins.test.mjs	к строке печатает признак по-русски	A1	flang/проверки/встроенные-формы.flang:145-149 (ведомость.txt строки 38-42)
builtins.test.mjs	пусто различает пустой и непустой список	A1	flang/проверки/встроенные-формы.flang:151-153 (ведомость.txt строки 43-45)
builtins.test.mjs	голова и хвост требуют непустого списка	A2	FLANG_BUILTIN_ARGS; flang/test/self-builtins.test.mjs:325-326 «Отказ пустой головы»/«Отказ пустого хвоста»; положительная половина — flang/проверки/встроенные-формы.flang:155-157
builtins.test.mjs	элемент индексируется от единицы, как символ, и отказывает за границей	A2	текст «элемент: индекс 4 вне списка длиной 3» сверен побайтово — flang/test/self-builtins.test.mjs:332 «Отказ номера элемента»; положительная половина — flang/проверки/встроенные-формы.flang:159-160
builtins.test.mjs	элемент уважает нулевую базу индексов — той же опцией, что и символ	A2	flang/test/self-builtins.test.mjs:452-459 «Основание индексации»
builtins.test.mjs	добавить не изменяет исходный список	A1	flang/проверки/встроенные-формы.flang:162-163 (ведомость.txt строки 51-52); неизменность при ветвлении держит только interpret.test.mjs:782
builtins.test.mjs	вложенные списки сравниваются структурно	A2	flang/test/self-builtins.test.mjs:456-466 «Значения равны» на 17×17 парах + ОСОБЫЕ_ПАРЫ «вложенные списки», «вложенные списки, разошедшиеся вглубине»
builtins.test.mjs	остаток от повторяет оператор JS	A1	flang/проверки/встроенные-формы.flang:168-170 (ведомость.txt строки 55-57); NaN на нуле в языке равенством не ловится (шапка :37-39 «пять невыразимых названы поимённо») и держится self-builtins.test.mjs:573 «Остаток дал не число» на 225 парах
builtins.test.mjs	процентов от считает ровно как ядро: (percent / 100) * value	A1	flang/проверки/встроенные-формы.flang:172-173; шапка :46-70 — именно этой поломкой проверено, что перенесённое умеет краснеть; шире — self-builtins.test.mjs:497-506, 484 пары
builtins.test.mjs	percentOf экспортирован и совпадает со встроенной формой	D	предмет — экспорт percentOf из src/builtins.mjs и его согласие со встроенной формой того же модуля
builtins.test.mjs	неизвестная встроенная форма — FLANG_UNKNOWN_NAME	A2	flang/test/self-builtins.test.mjs:175-181 (каноническое имя и «форма есть» на всех именах корпуса — тысячи чужих имён) + :349-355 «Неизвестная форма»
builtins.test.mjs	все встроенные формы из спецификации на месте	A2	flang/test/self-builtins.test.mjs:182 сверить("список имён форм", BUILTIN_NAMES, «Формы языка»); эталон — flang/self/builtins.flang:60
builtins.test.mjs	ошибка встроенной формы несёт span узла	A2	flang/test/self-builtins.test.mjs:534-548 §10: форма диагностики целиком через JSON.stringify, с местом и без, 36 сочетаний; эталон — flang/self/builtins.flang:1002 «Диагностика отказа с местом»
builtins.test.mjs	равенство скаляров — как compare() ядра, через Object.is	A2	flang/test/self-builtins.test.mjs:460-466 и §11 :568-600 (минус ноль, «не число», обе бесконечности); эталон — flang/self/builtins.flang:824 «Скаляры равны», примеры :850-858
builtins.test.mjs	варианты и записи сравниваются по имени и полям	A2	flang/test/self-builtins.test.mjs:445-455 ОСОБЫЕ_ПАРЫ (варианты одного имени, записи с переставленными ключами) + :481-484 названное расхождение «записи-самозванца»
builtins.test.mjs	typeName и describeValue дают человекочитаемые имена	A2	flang/test/self-builtins.test.mjs:520-528 §9 на всех 17 значениях матрицы; эталон — flang/self/builtins.flang:284 «Имя вида значения», :313 «Описать значение», примеры :329-333
builtins.test.mjs	сообщение об арности склоняется по-русски	A2	flang/test/self-builtins.test.mjs:190-201 §2 (каждая из 20 форм × 0…4 аргумента, текст побайтово); эталон — flang/self/builtins.flang:359-415 «Слово аргумента», примеры :362-380
lexer.test.mjs	отступ открывает и закрывает блок	A1	flang/self/lexer.flang:1894-1899 «Разметка», пример «Заголовок функции» — поток с ">" и "<"
lexer.test.mjs	вложенные блоки закрываются по одному DEDENT на уровень	A2	flang/test/self-lexer.test.mjs:607-613 «отступы: несколько уровней закрываются разом, по одному dedent на уровень»
lexer.test.mjs	пустые строки и строки-комментарии не участвуют в отступах	A1	flang/self/lexer.flang:1903-1905 пример «Комментарии и пустые строки токенов не дают»
lexer.test.mjs	рваный отступ — это FLANG_LEX с точным местом	A2	FLANG_LEX; место (строка 3, столбец 3) держит flang/test/self-lexer.test.mjs:389-397; сам код держит пример flang/self/lexer.flang:1848 «Рваный отступ» → ["FLANG_LEX"]
lexer.test.mjs	табуляция считается шириной два, как в ядре FTS	A2	flang/test/self-lexer.test.mjs:199-206 (каждый .flang дерева — поток в поток, вместе со строкой и столбцом) и :354 краевые случаи
lexer.test.mjs	имя пишется ёлочками, обычными кавычками или одним словом	A1	flang/self/lexer.flang:1894-1902 «Разметка»: примеры дают «ёлочка Длина», «имя акк» и «строка текст» — три вида рядом
lexer.test.mjs	имя в кавычках никогда не становится ключевым словом	A2	flang/test/self-lexer.test.mjs:456 разметка("«если»") = ["ёлочка если", "/", "."]; пример flang/self/lexer.flang:1038 закрывает только хвост чужой фразы
lexer.test.mjs	имена нормализуются в NFC	B	НИЧЕМ НЕ ЗАМЕЩЕНО СЕГОДНЯ: flang/self/lexer.flang:80-83 — «Нормализация NFC не выполняется», записано в долги. Утверждение выражается примером на «Разметке», как только эталон долг закроет
lexer.test.mjs	числа разбираются в IEEE-754 double	A1	flang/self/lexer.flang:848-858 «Запись числа», четыре примера; шире — flang/test/self-lexer.test.mjs:620 (текст и число, минус ноль)
lexer.test.mjs	строковый литерал понимает экранирование	A1	flang/self/lexer.flang:710-717 «Экранированный», примеры «Перевод строки», «Кавычка», «Неизвестное экранирование даёт сам символ»
lexer.test.mjs	комментарии // и /* */ выбрасываются	A1	flang/self/lexer.flang:1903-1905 пример «Комментарии и пустые строки токенов не дают»
lexer.test.mjs	комментарий внутри строки остаётся данными	A2	flang/test/self-lexer.test.mjs:199 корпус + :354 краевые случаи (строка с "//" внутри проходит поток в поток)
lexer.test.mjs	каждый токен несёт span со строкой и колонкой	A2	flang/test/self-lexer.test.mjs:236-245 (наш()/образцовый() включают строку и столбец) + :199 на каждом .flang дерева и :227 сторож символа вне BMP
lexer.test.mjs	многословные ключевые слова склеиваются в один токен	A1	flang/self/lexer.flang:1029-1034 примеры «Фраза из двух слов», «Китайская фраза»; flang/self/lexer.flang:1900 пример «Многословное ключевое слово»
lexer.test.mjs	длинная фраза выигрывает у короткой	A1	flang/self/lexer.flang:1056-1060 «Может начинать», примеры; шире — flang/test/self-lexer.test.mjs:444-459 «многословные фразы склеиваются жадно, длинные вперёд»
lexer.test.mjs	«элемент» ключевое, «элементы» имя, «обратный элемент» цел	A2	flang/test/self-lexer.test.mjs:420-437 таблица поверхность в поверхность (500+ фраз) + :199 корпус, где «элементы» стоит именем 430 раз
lexer.test.mjs	«код символа» ключевое, одинокий «код» — по-прежнему имя	A2	flang/test/self-lexer.test.mjs:420-437 + :199 корпус, где одинокое «код» стоит именем 226 раз
lexer.test.mjs	русская и английская поверхности дают один идентификатор	A1	flang/self/lexer.flang:1017-1028 «Идентификатор фразы», примеры на четырёх поверхностях; шире — flang/test/self-lexer.test.mjs:420 (500+ поверхностей) и :642 порядок таблицы
lexer.test.mjs	стрелка пишется как → или ->	A2	flang/test/self-lexer.test.mjs:354 краевые и :370 фаззинг (в кусках есть и "→", и "->"); «→» держит пример flang/self/lexer.flang:1900
lexer.test.mjs	внутри скобок отступы не значимы	A2	flang/test/self-lexer.test.mjs:614-619 «внутри скобок отступ не значим, а конец строки — значим»
lexer.test.mjs	незакрытая кавычка и незакрытый комментарий — FLANG_LEX	A2	FLANG_LEX; flang/test/self-lexer.test.mjs:408-418 «незакрытые кавычки и комментарий: место — начало, а не конец»
lexer.test.mjs	недопустимый символ сообщает своё место	A2	FLANG_LEX; flang/test/self-lexer.test.mjs:399-407 «недопустимый символ называет сам символ» (сообщение и столбец)
lexer.test.mjs	файл заканчивается newline, DEDENT и EOF	A1	flang/self/lexer.flang:1894-1899 пример «Заголовок функции» кончается "/", "<", "."; :1906 «Пустой исходник — только конец» → ["."]
repl.test.mjs	выражение вычисляется сразу	A2	flang/test/self-repl.test.mjs:642 ОБЕЩАНИЯ.сверено (побайтовая сверка вида итога, ответа и исходника сессии); проверка карты — :688
repl.test.mjs	многострочное выражение вычисляется целиком	A2	flang/test/self-repl.test.mjs:643 ОБЕЩАНИЯ.сверено
repl.test.mjs	пустой ввод ничего не делает	A2	flang/test/self-repl.test.mjs:644 ОБЕЩАНИЯ.сверено
repl.test.mjs	значения печатаются поверхностью языка	A1	flang/self/repl/repl.flang:1724 пример «Признак печатается словом», :1766 «Обычное число печатается как есть»; побайтово — flang/test/self-repl.test.mjs:540
repl.test.mjs	вариант печатается именем и полями, запись — полями	A2	flang/test/self-repl.test.mjs:646 ОБЕЩАНИЯ.сверено; эталон — flang/self/repl/repl.flang:1721 «Печать значения оболочки»
repl.test.mjs	объявленная функция доступна следующему выражению	A2	flang/test/self-repl.test.mjs:647 ОБЕЩАНИЯ.сверено + :447 сверка вида итога и исходника сессии
repl.test.mjs	объявления накапливаются и видят друг друга	A2	flang/test/self-repl.test.mjs:648 ОБЕЩАНИЯ.сверено
repl.test.mjs	переобъявление заменяет прежнее, а не спорит с ним	A2	flang/test/self-repl.test.mjs:649 ОБЕЩАНИЯ.сверено; порча «переобъявление перестало заменять прежнее» :735 краснеет
repl.test.mjs	объявление, не прошедшее проверку, не меняет сессию	A2	flang/test/self-repl.test.mjs:650 ОБЕЩАНИЯ.сверено (исходник сессии сверяется отдельно от ответа)
repl.test.mjs	исходник сессии — это программа, которую примет разбор	A2	flang/test/self-repl.test.mjs:651 ОБЕЩАНИЯ.сверено; порча «между объявлениями сессии пропала пустая строка» :741
repl.test.mjs	ошибка типа называет код и точное место во вводе	A2	flang/test/self-repl.test.mjs:652 ОБЕЩАНИЯ.сверено; порча «столбец перестал сдвигаться на ширину обёртки» :727 (FLANG_TYPE)
repl.test.mjs	ошибка внутри объявления указывает на строку ввода, а не сессии	A2	flang/test/self-repl.test.mjs:653 ОБЕЩАНИЯ.сверено (FLANG_TYPE, строка и столбец)
repl.test.mjs	недоказанная тотальность отвергается тем же кодом, что и в check	A2	flang/test/self-repl.test.mjs:654 ОБЕЩАНИЯ.сверено (FLANG_NOT_TOTAL)
repl.test.mjs	неизвестное имя — ошибка разбора, а не молчание	A2	flang/test/self-repl.test.mjs:655 ОБЕЩАНИЯ.сверено (FLANG_UNKNOWN_NAME)
repl.test.mjs	ошибка разбора не роняет оболочку и оставляет её пригодной	A2	flang/test/self-repl.test.mjs:656 ОБЕЩАНИЯ.сверено (FLANG_PARSE)
repl.test.mjs	обычная функция объявляется без обещания завершения	A2	flang/test/self-repl.test.mjs:657 ОБЕЩАНИЯ.сверено; порча «про недоказанное завершение перестали говорить» :738
repl.test.mjs	лимит шагов сообщается тем же FLANG_RECURSION_LIMIT, что и обычный запуск	A2	flang/test/self-repl.test.mjs:489-495 «предел витков: тот же FLANG_RECURSION_LIMIT и то же сообщение»
repl.test.mjs	глубина вызовов ограничена так же, как в интерпретаторе	A2	flang/test/self-repl.test.mjs:496-505 «предел глубины: тот же код и то же число в тексте»
