цель	судья	род	было	стало	идентификатор
csharp	связывание	функция	В нижний регистр	В нижний регистр CSharp	v_nizhniy_registr_csharp
csharp	связывание	функция	Ветвь без проверки	Ветвь без проверки CSharp	vetv_bez_proverki_csharp
csharp	связывание	функция	Ветвь с проверкой	Ветвь с проверкой CSharp	vetv_s_proverkoy_csharp
csharp	связывание	функция	Ветка диспетчера	Ветка диспетчера CSharp	vetka_dispetchera_csharp
csharp	связывание	функция	Взять поле	Взять поле CSharp	vzyat_pole_csharp
csharp	связывание	функция	Вид узла	Вид узла CSharp	vid_uzla_csharp
csharp	связывание	функция	Временное	Временное CSharp	vremennoe_csharp
csharp	связывание	функция	Все вызовы	Все вызовы CSharp	vse_vyzovy_csharp
csharp	связывание	функция	Выбор оболочки	Выбор оболочки CSharp	vybor_obolochki_csharp
csharp	связывание	функция	Глубже	Глубже CSharp	glubzhe_csharp
csharp	связывание	функция	Готовая проверка	Готовая проверка CSharp	gotovaya_proverka_csharp
csharp	связывание	функция	Граница слова	Граница слова CSharp	granica_slova_csharp
csharp	связывание	функция	Добавить вызов	Добавить вызов CSharp	dobavit_vyzov_csharp
csharp	связывание	функция	Добавить имя вызова	Добавить имя вызова CSharp	dobavit_imya_vyzova_csharp
csharp	связывание	функция	Добавить уникальное	Добавить уникальное CSharp	dobavit_unikalnoe_csharp
csharp	связывание	функция	Договор на двери	Договор на двери CSharp	dogovor_na_dveri_csharp
csharp	связывание	функция	Дописать слово	Дописать слово CSharp	dopisat_slovo_csharp
csharp	связывание	функция	Есть батут	Есть батут CSharp	est_batut_csharp
csharp	связывание	функция	Есть в таблице	Есть в таблице CSharp	est_v_tablice_csharp
csharp	связывание	функция	Есть имя модуля	Есть имя модуля CSharp	est_imya_modulya_csharp
csharp	связывание	функция	Есть метка	Есть метка CSharp	est_metka_csharp
csharp	связывание	функция	Есть поле у узла	Есть поле у узла CSharp	est_pole_u_uzla_csharp
csharp	связывание	функция	Есть слово	Есть слово CSharp	est_slovo_csharp
csharp	связывание	функция	Есть функция с именем	Есть функция с именем CSharp	est_funkciya_s_imenem_csharp
csharp	связывание	функция	Закрыть вершину	Закрыть вершину CSharp	zakryt_vershinu_csharp
csharp	связывание	функция	Заменить взятое	Заменить взятое CSharp	zamenit_vzyatoe_csharp
csharp	связывание	функция	Заменить низ	Заменить низ CSharp	zamenit_niz_csharp
csharp	связывание	функция	Заменить счётчик	Заменить счётчик CSharp	zamenit_schyotchik_csharp
csharp	связывание	функция	Замены в верхний регистр	Замены в верхний регистр CSharp	zameny_v_verhniy_registr_csharp
csharp	связывание	функция	Замены в нижний регистр	Замены в нижний регистр CSharp	zameny_v_nizhniy_registr_csharp
csharp	связывание	функция	Замены кириллицы	Замены кириллицы CSharp	zameny_kirillicy_csharp
csharp	связывание	функция	Занять имя	Занять имя CSharp	zanyat_imya_csharp
csharp	связывание	функция	Записать компоненту	Записать компоненту CSharp	zapisat_komponentu_csharp
csharp	связывание	функция	Записать ошибку	Записать ошибку CSharp	zapisat_oshibku_csharp
csharp	связывание	функция	Значение по ключу	Значение по ключу CSharp	znachenie_po_klyuchu_csharp
csharp	связывание	функция	Значения полей	Значения полей CSharp	znacheniya_poley_csharp
csharp	связывание	функция	Идентификатор с ролью	Идентификатор с ролью CSharp	identifikator_s_rolyu_csharp
csharp	связывание	функция	Идентификаторы для	Идентификаторы для CSharp	identifikatory_dlya_csharp
csharp	связывание	функция	Идентификаторы параметров	Идентификаторы параметров CSharp	identifikatory_parametrov_csharp
csharp	связывание	функция	Имена вариантов	Имена вариантов CSharp	imena_variantov_csharp
csharp	связывание	функция	Имена записей	Имена записей CSharp	imena_zapisey_csharp
csharp	связывание	функция	Имена полей типа	Имена полей типа CSharp	imena_poley_tipa_csharp
csharp	связывание	функция	Имена рёбер	Имена рёбер CSharp	imena_ryober_csharp
csharp	связывание	функция	Имена функций	Имена функций CSharp	imena_funkciy_csharp
csharp	связывание	функция	Имя модуля	Имя модуля CSharp	imya_modulya_csharp
csharp	связывание	функция	Исходник модуля	Исходник модуля CSharp	ishodnik_modulya_csharp
csharp	связывание	функция	Каноническое имя формы	Каноническое имя формы CSharp	kanonicheskoe_imya_formy_csharp
csharp	связывание	функция	Ключи полей	Ключи полей CSharp	klyuchi_poley_csharp
csharp	связывание	функция	Компоненты связности	Компоненты связности CSharp	komponenty_svyaznosti_csharp
csharp	связывание	функция	Контекст двери	Контекст двери CSharp	kontekst_dveri_csharp
csharp	связывание	функция	Корень Тарьяна	Корень Тарьяна CSharp	koren_taryana_csharp
csharp	связывание	функция	Между	Между CSharp	mezhdu_csharp
csharp	связывание	функция	Меньшее	Меньшее CSharp	menshee_csharp
csharp	связывание	функция	Метка или ноль	Метка или ноль CSharp	metka_ili_nol_csharp
csharp	связывание	функция	Найти в таблице	Найти в таблице CSharp	nayti_v_tablice_csharp
csharp	связывание	функция	Найти метку	Найти метку CSharp	nayti_metku_csharp
csharp	связывание	функция	Найти функцию	Найти функцию CSharp	nayti_funkciyu_csharp
csharp	связывание	функция	Начальное взятое	Начальное взятое CSharp	nachalnoe_vzyatoe_csharp
csharp	связывание	функция	Начальный контекст	Начальный контекст CSharp	nachalnyy_kontekst_csharp
csharp	связывание	функция	Неизвестный вид	Неизвестный вид CSharp	neizvestnyy_vid_csharp
csharp	связывание	функция	Обновить вариант типа	Обновить вариант типа CSharp	obnovit_variant_tipa_csharp
csharp	связывание	функция	Обновить запись типа	Обновить запись типа CSharp	obnovit_zapis_tipa_csharp
csharp	связывание	функция	Обновить метку	Обновить метку CSharp	obnovit_metku_csharp
csharp	связывание	функция	Обновить пару	Обновить пару CSharp	obnovit_paru_csharp
csharp	связывание	функция	Обойти вершину	Обойти вершину CSharp	oboyti_vershinu_csharp
csharp	связывание	функция	Обратное ребро	Обратное ребро CSharp	obratnoe_rebro_csharp
csharp	связывание	функция	Обход всего	Обход всего CSharp	obhod_vsego_csharp
csharp	связывание	функция	Обход полей	Обход полей CSharp	obhod_poley_csharp
csharp	связывание	функция	Обход хвоста	Обход хвоста CSharp	obhod_hvosta_csharp
csharp	связывание	функция	Обход хвоста ветвей	Обход хвоста ветвей CSharp	obhod_hvosta_vetvey_csharp
csharp	связывание	функция	Обход хвоста случаев	Обход хвоста случаев CSharp	obhod_hvosta_sluchaev_csharp
csharp	связывание	функция	Обход хвоста случая	Обход хвоста случая CSharp	obhod_hvosta_sluchaya_csharp
csharp	связывание	функция	Описание функции	Описание функции CSharp	opisanie_funkcii_csharp
csharp	связывание	функция	Ошибка образца	Ошибка образца CSharp	oshibka_obrazca_csharp
csharp	связывание	функция	Ошибка столкновения	Ошибка столкновения CSharp	oshibka_stolknoveniya_csharp
csharp	связывание	функция	Первая из меток	Первая из меток CSharp	pervaya_iz_metok_csharp
csharp	связывание	функция	Первая из функций	Первая из функций CSharp	pervaya_iz_funkciy_csharp
csharp	связывание	функция	Первое из пар	Первое из пар CSharp	pervoe_iz_par_csharp
csharp	связывание	функция	Первое из полей	Первое из полей CSharp	pervoe_iz_poley_csharp
csharp	связывание	функция	Первый символ	Первый символ CSharp	pervyy_simvol_csharp
csharp	связывание	функция	Печать Makefile	Печать Makefile CSharp	pechat_makefile_csharp
csharp	связывание	функция	Печать батута	Печать батута CSharp	pechat_batuta_csharp
csharp	связывание	функция	Печать ветви	Печать ветви CSharp	pechat_vetvi_csharp
csharp	связывание	функция	Печать вызова	Печать вызова CSharp	pechat_vyzova_csharp
csharp	связывание	функция	Печать диспетчера	Печать диспетчера CSharp	pechat_dispetchera_csharp
csharp	связывание	функция	Печать если	Печать если CSharp	pechat_esli_csharp
csharp	связывание	функция	Печать записи	Печать записи CSharp	pechat_zapisi_csharp
csharp	связывание	функция	Печать значения	Печать значения CSharp	pechat_znacheniya_csharp
csharp	связывание	функция	Печать известной формы	Печать известной формы CSharp	pechat_izvestnoy_formy_csharp
csharp	связывание	функция	Печать конструктора	Печать конструктора CSharp	pechat_konstruktora_csharp
csharp	связывание	функция	Печать конструктора варианта	Печать конструктора варианта CSharp	pechat_konstruktora_varianta_csharp
csharp	связывание	функция	Печать литерала	Печать литерала CSharp	pechat_literala_csharp
csharp	связывание	функция	Печать операции	Печать операции CSharp	pechat_operacii_csharp
csharp	связывание	функция	Печать переменной	Печать переменной CSharp	pechat_peremennoy_csharp
csharp	связывание	функция	Печать поля записи	Печать поля записи CSharp	pechat_polya_zapisi_csharp
csharp	связывание	функция	Печать помощника операции	Печать помощника операции CSharp	pechat_pomoschnika_operacii_csharp
csharp	связывание	функция	Печать программы	Печать программы CSharp	pechat_programmy_csharp
csharp	связывание	функция	Печать простой функции	Печать простой функции CSharp	pechat_prostoy_funkcii_csharp
csharp	связывание	функция	Печать пусть	Печать пусть CSharp	pechat_pust_csharp
csharp	связывание	функция	Печать разбора	Печать разбора CSharp	pechat_razbora_csharp
csharp	связывание	функция	Печать разбора значением	Печать разбора значением CSharp	pechat_razbora_znacheniem_csharp
csharp	связывание	функция	Печать свёртки	Печать свёртки CSharp	pechat_svyortki_csharp
csharp	связывание	функция	Печать свёртки дальше	Печать свёртки дальше CSharp	pechat_svyortki_dalshe_csharp
csharp	связывание	функция	Печать скаляра	Печать скаляра CSharp	pechat_skalyara_csharp
csharp	связывание	функция	Печать тел	Печать тел CSharp	pechat_tel_csharp
csharp	связывание	функция	Печать фабрики	Печать фабрики CSharp	pechat_fabriki_csharp
csharp	связывание	функция	Печать формы	Печать формы CSharp	pechat_formy_csharp
csharp	связывание	функция	Печать функции	Печать функции CSharp	pechat_funkcii_csharp
csharp	связывание	функция	Печать хвоста	Печать хвоста CSharp	pechat_hvosta_csharp
csharp	связывание	функция	Печать цикла	Печать цикла CSharp	pechat_cikla_csharp
csharp	связывание	функция	Печать цикла дальше	Печать цикла дальше CSharp	pechat_cikla_dalshe_csharp
csharp	связывание	функция	Поле узла	Поле узла CSharp	pole_uzla_csharp
csharp	связывание	функция	Положить в	Положить в CSharp	polozhit_v_csharp
csharp	связывание	функция	Положить в таблицу	Положить в таблицу CSharp	polozhit_v_tablicu_csharp
csharp	связывание	функция	Положить метку	Положить метку CSharp	polozhit_metku_csharp
csharp	связывание	функция	Поля узла	Поля узла CSharp	polya_uzla_csharp
csharp	связывание	функция	Пометка вида типа	Пометка вида типа CSharp	pometka_vida_tipa_csharp
csharp	связывание	функция	Пометка имени типа	Пометка имени типа CSharp	pometka_imeni_tipa_csharp
csharp	связывание	функция	Пометка типа	Пометка типа CSharp	pometka_tipa_csharp
csharp	связывание	функция	Помощник формы	Помощник формы CSharp	pomoschnik_formy_csharp
csharp	связывание	функция	Помощники операций	Помощники операций CSharp	pomoschniki_operaciy_csharp
csharp	связывание	функция	Помощники форм	Помощники форм CSharp	pomoschniki_form_csharp
csharp	связывание	функция	Последний символ	Последний символ CSharp	posledniy_simvol_csharp
csharp	связывание	функция	Последняя строка	Последняя строка CSharp	poslednyaya_stroka_csharp
csharp	связывание	функция	Применить замены	Применить замены CSharp	primenit_zameny_csharp
csharp	связывание	функция	Проверить арность вызова	Проверить арность вызова CSharp	proverit_arnost_vyzova_csharp
csharp	связывание	функция	Проверить арность формы	Проверить арность формы CSharp	proverit_arnost_formy_csharp
csharp	связывание	функция	Проверить вариант	Проверить вариант CSharp	proverit_variant_csharp
csharp	связывание	функция	Проверить запись	Проверить запись CSharp	proverit_zapis_csharp
csharp	связывание	функция	Проверить имя записи	Проверить имя записи CSharp	proverit_imya_zapisi_csharp
csharp	связывание	функция	Проверить имя узла	Проверить имя узла CSharp	proverit_imya_uzla_csharp
csharp	связывание	функция	Проверить случай	Проверить случай CSharp	proverit_sluchay_csharp
csharp	связывание	функция	Проверить столкновения	Проверить столкновения CSharp	proverit_stolknoveniya_csharp
csharp	связывание	функция	Проверка литералом	Проверка литералом CSharp	proverka_literalom_csharp
csharp	связывание	функция	Проверка образца	Проверка образца CSharp	proverka_obrazca_csharp
csharp	связывание	функция	Проверки договора	Проверки договора CSharp	proverki_dogovora_csharp
csharp	связывание	функция	Пройти части	Пройти части CSharp	proyti_chasti_csharp
csharp	связывание	функция	Просто значение	Просто значение CSharp	prosto_znachenie_csharp
csharp	связывание	функция	Просьбы имён	Просьбы имён CSharp	prosby_imyon_csharp
csharp	связывание	функция	Пустое состояние	Пустое состояние CSharp	pustoe_sostoyanie_csharp
csharp	связывание	функция	Разрешить вызов	Разрешить вызов CSharp	razreshit_vyzov_csharp
csharp	связывание	функция	Ребро Тарьяна	Ребро Тарьяна CSharp	rebro_taryana_csharp
csharp	связывание	функция	Ребро вглубь	Ребро вглубь CSharp	rebro_vglub_csharp
csharp	связывание	функция	Ребро внутри	Ребро внутри CSharp	rebro_vnutri_csharp
csharp	связывание	функция	Рекурсивная одиночка	Рекурсивная одиночка CSharp	rekursivnaya_odinochka_csharp
csharp	связывание	функция	Рекурсивные функции	Рекурсивные функции CSharp	rekursivnye_funkcii_csharp
csharp	связывание	функция	Рёбра вызовов	Рёбра вызовов CSharp	ryobra_vyzovov_csharp
csharp	связывание	функция	Самовызов в хвосте	Самовызов в хвосте CSharp	samovyzov_v_hvoste_csharp
csharp	связывание	функция	Свежее имя	Свежее имя CSharp	svezhee_imya_csharp
csharp	связывание	функция	Свободное имя	Свободное имя CSharp	svobodnoe_imya_csharp
csharp	связывание	функция	Связать имя	Связать имя CSharp	svyazat_imya_csharp
csharp	связывание	функция	Связать параметр	Связать параметр CSharp	svyazat_parametr_csharp
csharp	связывание	функция	Связать параметр двери	Связать параметр двери CSharp	svyazat_parametr_dveri_csharp
csharp	связывание	функция	Связать поле варианта	Связать поле варианта CSharp	svyazat_pole_varianta_csharp
csharp	связывание	функция	Связки варианта	Связки варианта CSharp	svyazki_varianta_csharp
csharp	связывание	функция	Связывание головы	Связывание головы CSharp	svyazyvanie_golovy_csharp
csharp	связывание	функция	Связывание головы и хвоста	Связывание головы и хвоста CSharp	svyazyvanie_golovy_i_hvosta_csharp
csharp	связывание	функция	Связывание любого	Связывание любого CSharp	svyazyvanie_lyubogo_csharp
csharp	связывание	функция	Связывание образца	Связывание образца CSharp	svyazyvanie_obrazca_csharp
csharp	связывание	функция	Символы слова	Символы слова CSharp	simvoly_slova_csharp
csharp	связывание	функция	Синонимы форм	Синонимы форм CSharp	sinonimy_form_csharp
csharp	связывание	функция	Склеить тела	Склеить тела CSharp	skleit_tela_csharp
csharp	связывание	функция	Слить вариант типа	Слить вариант типа CSharp	slit_variant_tipa_csharp
csharp	связывание	функция	Слить варианты суммы	Слить варианты суммы CSharp	slit_varianty_summy_csharp
csharp	связывание	функция	Слить запись типа	Слить запись типа CSharp	slit_zapis_tipa_csharp
csharp	связывание	функция	Слить просьбы	Слить просьбы CSharp	slit_prosby_csharp
csharp	связывание	функция	Слить рёбра	Слить рёбра CSharp	slit_ryobra_csharp
csharp	связывание	функция	Слить строки	Слить строки CSharp	slit_stroki_csharp
csharp	связывание	функция	Слить файлы	Слить файлы CSharp	slit_fayly_csharp
csharp	связывание	функция	Слова	Слова CSharp	slova_csharp
csharp	связывание	функция	Словарные символы	Словарные символы CSharp	slovarnye_simvoly_csharp
csharp	связывание	функция	Слово аргументов	Слово аргументов CSharp	slovo_argumentov_csharp
csharp	связывание	функция	Снять вершину стека	Снять вершину стека CSharp	snyat_vershinu_steka_csharp
csharp	связывание	функция	Снять компоненту	Снять компоненту CSharp	snyat_komponentu_csharp
csharp	связывание	функция	Собрать вариант	Собрать вариант CSharp	sobrat_variant_csharp
csharp	связывание	функция	Собрать варианты	Собрать варианты CSharp	sobrat_varianty_csharp
csharp	связывание	функция	Собрать записи	Собрать записи CSharp	sobrat_zapisi_csharp
csharp	связывание	функция	Собрать общее	Собрать общее CSharp	sobrat_obschee_csharp
csharp	связывание	функция	Собрать параметр	Собрать параметр CSharp	sobrat_parametr_csharp
csharp	связывание	функция	Собрать поле типа	Собрать поле типа CSharp	sobrat_pole_tipa_csharp
csharp	связывание	функция	Собрать поля	Собрать поля CSharp	sobrat_polya_csharp
csharp	связывание	функция	Собрать поля типа	Собрать поля типа CSharp	sobrat_polya_tipa_csharp
csharp	связывание	функция	Собрать постусловие	Собрать постусловие CSharp	sobrat_postuslovie_csharp
csharp	связывание	функция	Собрать предусловие	Собрать предусловие CSharp	sobrat_preduslovie_csharp
csharp	связывание	функция	Собрать суммы	Собрать суммы CSharp	sobrat_summy_csharp
csharp	связывание	функция	Собрать функции	Собрать функции CSharp	sobrat_funkcii_csharp
csharp	связывание	функция	Собрать функцию	Собрать функцию CSharp	sobrat_funkciyu_csharp
csharp	связывание	функция	Строка аргумента вызова	Строка аргумента вызова CSharp	stroka_argumenta_vyzova_csharp
csharp	связывание	функция	Строка батута	Строка батута CSharp	stroka_batuta_csharp
csharp	связывание	функция	Строка вывода	Строка вывода CSharp	stroka_vyvoda_csharp
csharp	связывание	функция	Строка параметра	Строка параметра CSharp	stroka_parametra_csharp
csharp	связывание	функция	Строка поля	Строка поля CSharp	stroka_polya_csharp
csharp	связывание	функция	Строка поля или	Строка поля или CSharp	stroka_polya_ili_csharp
csharp	связывание	функция	Строка скаляра	Строка скаляра CSharp	stroka_skalyara_csharp
csharp	связывание	функция	Строка узла	Строка узла CSharp	stroka_uzla_csharp
csharp	связывание	функция	Суффикс доказанного помощника	Суффикс доказанного помощника CSharp	suffiks_dokazannogo_pomoschnika_csharp
csharp	связывание	функция	Таблица вариантов	Таблица вариантов CSharp	tablica_variantov_csharp
csharp	связывание	функция	Таблица фабрик	Таблица фабрик CSharp	tablica_fabrik_csharp
csharp	связывание	функция	Таблица функций	Таблица функций CSharp	tablica_funkciy_csharp
csharp	связывание	функция	Таблица шагов	Таблица шагов CSharp	tablica_shagov_csharp
csharp	связывание	функция	Тело ветви	Тело ветви CSharp	telo_vetvi_csharp
csharp	связывание	функция	Тело пусть	Тело пусть CSharp	telo_pust_csharp
csharp	связывание	функция	Тело с постусловиями	Тело с постусловиями CSharp	telo_s_postusloviyami_csharp
csharp	связывание	функция	Тело функции	Тело функции CSharp	telo_funkcii_csharp
csharp	связывание	функция	Тело цикла	Тело цикла CSharp	telo_cikla_csharp
csharp	связывание	функция	Тело циклом	Тело циклом CSharp	telo_ciklom_csharp
csharp	связывание	функция	Только символы слова	Только символы слова CSharp	tolko_simvoly_slova_csharp
csharp	связывание	функция	Транслитерировать	Транслитерировать CSharp	transliterirovat_csharp
csharp	связывание	функция	Узел ничто	Узел ничто CSharp	uzel_nichto_csharp
csharp	связывание	функция	Уникальные имена	Уникальные имена CSharp	unikalnye_imena_csharp
csharp	связывание	функция	Формы, снимаемые непустотой	Формы, снимаемые непустотой CSharp	formy_snimaemye_nepustotoy_csharp
csharp	связывание	функция	Хвост цепочки	Хвост цепочки CSharp	hvost_cepochki_csharp
csharp	связывание	функция	Хвостовое если	Хвостовое если CSharp	hvostovoe_esli_csharp
csharp	связывание	функция	Хвостовое значение	Хвостовое значение CSharp	hvostovoe_znachenie_csharp
csharp	связывание	функция	Хвостовое пусть	Хвостовое пусть CSharp	hvostovoe_pust_csharp
csharp	связывание	функция	Хвостовой возврат	Хвостовой возврат CSharp	hvostovoy_vozvrat_csharp
csharp	связывание	функция	Хвостовой вызов	Хвостовой вызов CSharp	hvostovoy_vyzov_csharp
csharp	связывание	функция	Хвостовой отскок	Хвостовой отскок CSharp	hvostovoy_otskok_csharp
csharp	связывание	функция	Хвостовой цикл	Хвостовой цикл CSharp	hvostovoy_cikl_csharp
csharp	связывание	функция	Хвостовые вызовы	Хвостовые вызовы CSharp	hvostovye_vyzovy_csharp
csharp	связывание	функция	Хвостовые рёбра	Хвостовые рёбра CSharp	hvostovye_ryobra_csharp
csharp	связывание	функция	Цели	Цели CSharp	celi_csharp
csharp	связывание	функция	Цепочка случаев	Цепочка случаев CSharp	cepochka_sluchaev_csharp
csharp	связывание	функция	Циклические функции	Циклические функции CSharp	ciklicheskie_funkcii_csharp
csharp	связывание	функция	Цифры	Цифры CSharp	cifry_csharp
csharp	связывание	функция	Число параметров	Число параметров CSharp	chislo_parametrov_csharp
csharp	связывание	функция	Число скаляра	Число скаляра CSharp	chislo_skalyara_csharp
csharp	связывание	функция	Число узла	Число узла CSharp	chislo_uzla_csharp
csharp	связывание	функция	Члены батута	Члены батута CSharp	chleny_batuta_csharp
csharp	связывание	функция	Члены компоненты	Члены компоненты CSharp	chleny_komponenty_csharp
csharp	связывание	функция	Шаг ветки диспетчера	Шаг ветки диспетчера CSharp	shag_vetki_dispetchera_csharp
csharp	связывание	функция	Шаг временного аргумента	Шаг временного аргумента CSharp	shag_vremennogo_argumenta_csharp
csharp	связывание	функция	Шаг выбора	Шаг выбора CSharp	shag_vybora_csharp
csharp	связывание	функция	Шаг отрезания	Шаг отрезания CSharp	shag_otrezaniya_csharp
csharp	связывание	функция	Шаг поиска слова	Шаг поиска слова CSharp	shag_poiska_slova_csharp
csharp	связывание	функция	Шаг постусловия	Шаг постусловия CSharp	shag_postusloviya_csharp
csharp	связывание	функция	Шаг предусловия	Шаг предусловия CSharp	shag_predusloviya_csharp
csharp	связывание	функция	Шаг присвоения параметра	Шаг присвоения параметра CSharp	shag_prisvoeniya_parametra_csharp
csharp	связывание	функция	Шаг распаковки	Шаг распаковки CSharp	shag_raspakovki_csharp
csharp	связывание	функция	Шаг рекурсивных	Шаг рекурсивных CSharp	shag_rekursivnyh_csharp
csharp	связывание	функция	Шаг сбора случая	Шаг сбора случая CSharp	shag_sbora_sluchaya_csharp
csharp	связывание	функция	Шаг тела функции	Шаг тела функции CSharp	shag_tela_funkcii_csharp
csharp	связывание	функция	Шаг уникальных	Шаг уникальных CSharp	shag_unikalnyh_csharp
csharp	связывание	функция	Шаг цепочки	Шаг цепочки CSharp	shag_cepochki_csharp
csharp	связывание	функция	Шапка файла	Шапка файла CSharp	shapka_fayla_csharp
csharp	связывание	функция	Элемент по индексу	Элемент по индексу CSharp	element_po_indeksu_csharp
csharp	связывание	функция	Элементы поля	Элементы поля CSharp	elementy_polya_csharp
csharp	связывание	функция	Элементы узла	Элементы узла CSharp	elementy_uzla_csharp
csharp	связывание	функция	Это запись	Это запись CSharp	eto_zapis_csharp
csharp	связывание	функция	Это истина	Это истина CSharp	eto_istina_csharp
csharp	связывание	функция	Это истина в скаляре	Это истина в скаляре CSharp	eto_istina_v_skalyare_csharp
csharp	связывание	функция	Это ничто	Это ничто CSharp	eto_nichto_csharp
csharp	связывание	функция	Это ничто в скаляре	Это ничто в скаляре CSharp	eto_nichto_v_skalyare_csharp
csharp	связывание	функция	Это отскок	Это отскок CSharp	eto_otskok_csharp
csharp	связывание	функция	Это признак	Это признак CSharp	eto_priznak_csharp
csharp	связывание	функция	Это признак в скаляре	Это признак в скаляре CSharp	eto_priznak_v_skalyare_csharp
csharp	связывание	функция	Это самовызов	Это самовызов CSharp	eto_samovyzov_csharp
csharp	связывание	функция	Это символ слова	Это символ слова CSharp	eto_simvol_slova_csharp
csharp	связывание	функция	Это список	Это список CSharp	eto_spisok_csharp
csharp	связывание	функция	Это строка	Это строка CSharp	eto_stroka_csharp
csharp	связывание	функция	Это строка в скаляре	Это строка в скаляре CSharp	eto_stroka_v_skalyare_csharp
csharp	связывание	функция	Это число	Это число CSharp	eto_chislo_csharp
csharp	связывание	функция	Это число в скаляре	Это число в скаляре CSharp	eto_chislo_v_skalyare_csharp
csharp	печать	функция	Число C#	Число CSharp	chislo_csharp
csharp	печать	функция	Экранировать C#	Экранировать CSharp	ekranirovat_csharp
csharp	печать	функция	Конечное число C#	Конечное число CSharp	konechnoe_chislo_csharp
csharp	печать	функция	Обойти занятое целью C#	Обойти занятое целью CSharp	oboyti_zanyatoe_celyu_csharp
csharp	печать	функция	Строка C#	Строка CSharp	stroka_csharp
csharp	печать	функция	Замены C#	Замены CSharp	zameny_csharp
csharp	печать	функция	Занято целью C#	Занято целью CSharp	zanyato_celyu_csharp
csharp	печать	функция	Зарезервировано в C#	Зарезервировано в CSharp	zarezervirovano_v_csharp
csharp	типы	вариант	Есть число	Есть число CSharp	variant_est_chislo_csharp
csharp	типы	вариант	Есть функция	Есть функция CSharp	variant_est_funkciya_csharp
csharp	типы	вариант	Есть имя	Есть имя CSharp	variant_est_imya_csharp
csharp	типы	вариант	Есть узел	Есть узел CSharp	variant_est_uzel_csharp
csharp	типы	вариант	Нет числа	Нет числа CSharp	variant_net_chisla_csharp
csharp	типы	вариант	Нет функции	Нет функции CSharp	variant_net_funkcii_csharp
csharp	типы	вариант	Нет имени	Нет имени CSharp	variant_net_imeni_csharp
csharp	типы	вариант	Нет узла	Нет узла CSharp	variant_net_uzla_csharp
elixir	связывание	тип	Блок	Блок Elixir	sozdat_blok_elixir
elixir	связывание	тип	Вариант типа	Вариант типа Elixir	sozdat_variant_tipa_elixir
elixir	связывание	тип	Запись типа	Запись типа Elixir	sozdat_zapis_tipa_elixir
elixir	связывание	тип	Зип	Зип Elixir	sozdat_zip_elixir
elixir	связывание	тип	Именованные идентификаторы	Именованные идентификаторы Elixir	sozdat_imenovannye_identifikatory_elixir
elixir	связывание	тип	Итог	Итог Elixir	sozdat_itog_elixir
elixir	связывание	тип	Итог печати	Итог печати Elixir	sozdat_itog_pechati_elixir
elixir	связывание	тип	Итог проверки	Итог проверки Elixir	sozdat_itog_proverki_elixir
elixir	связывание	тип	Компонента	Компонента Elixir	sozdat_komponenta_elixir
elixir	связывание	тип	Контекст	Контекст Elixir	sozdat_kontekst_elixir
elixir	связывание	тип	Метка	Метка Elixir	sozdat_metka_elixir
elixir	связывание	тип	Может быть имя	Может быть имя Elixir	—
elixir	связывание	тип	Может быть узел	Может быть узел Elixir	—
elixir	связывание	тип	Может быть функция	Может быть функция Elixir	—
elixir	связывание	тип	Может быть число	Может быть число Elixir	—
elixir	связывание	тип	Набор имён	Набор имён Elixir	sozdat_nabor_imyon_elixir
elixir	связывание	тип	Настройки	Настройки Elixir	sozdat_nastroyki_elixir
elixir	связывание	тип	Общее	Общее Elixir	sozdat_obschee_elixir
elixir	связывание	тип	Отрезание	Отрезание Elixir	sozdat_otrezanie_elixir
elixir	связывание	тип	Пара имён	Пара имён Elixir	sozdat_para_imyon_elixir
elixir	связывание	тип	Параметр	Параметр Elixir	sozdat_parametr_elixir
elixir	связывание	тип	Поиск слова	Поиск слова Elixir	sozdat_poisk_slova_elixir
elixir	связывание	тип	Поле типа	Поле типа Elixir	sozdat_pole_tipa_elixir
elixir	связывание	тип	Постусловие	Постусловие Elixir	sozdat_postuslovie_elixir
elixir	связывание	тип	Предусловие	Предусловие Elixir	sozdat_preduslovie_elixir
elixir	связывание	тип	Рёбра	Рёбра Elixir	sozdat_ryobra_elixir
elixir	связывание	тип	Сбор слов	Сбор слов Elixir	sozdat_sbor_slov_elixir
elixir	связывание	тип	Свежее	Свежее Elixir	sozdat_svezhee_elixir
elixir	связывание	тип	Связка	Связка Elixir	sozdat_svyazka_elixir
elixir	связывание	тип	Связывание	Связывание Elixir	sozdat_svyazyvanie_elixir
elixir	связывание	тип	Связывание параметров	Связывание параметров Elixir	sozdat_svyazyvanie_parametrov_elixir
elixir	связывание	тип	Состояние	Состояние Elixir	sozdat_sostoyanie_elixir
elixir	связывание	тип	Сумма типов	Сумма типов Elixir	sozdat_summa_tipov_elixir
elixir	связывание	тип	Тарьян	Тарьян Elixir	sozdat_taryan_elixir
elixir	связывание	тип	Тела	Тела Elixir	sozdat_tela_elixir
elixir	связывание	тип	Файл	Файл Elixir	sozdat_fayl_elixir
elixir	связывание	тип	Функция	Функция Elixir	sozdat_funkciya_elixir
elixir	связывание	функция	Арности форм	Арности форм Elixir	arnosti_form_elixir
elixir	связывание	функция	Без последней строки	Без последней строки Elixir	bez_posledney_stroki_elixir
elixir	связывание	функция	В верхний регистр	В верхний регистр Elixir	v_verhniy_registr_elixir
